
ID    |                  Customer |          Phone Number |           Brand | Plate Number | Seats |  Rental Rate |                    Driver |  Driver Phone Number | Start Date | TicketDate | Date Today |   Duration |     Status | Rental Fee (RM)
ID010 | William Walker            |           60145016418 |         Perodua |      MJH 635 |     4 |       168.27 |              Gary Manning |          60106821719 | 2024-07-08 | 2024-07-19 | 2024-07-10 |          2 |      Valid |          336.54
ID011 | Mr. Rodney Cantrell       |           60112159042 |            Ford |      ETO 189 |     7 |        59.28 |         Jennifer Martinez |          60149524233 | 2024-07-10 | 2024-07-17 | 2024-07-10 |          2 |      Valid |          118.56
ID012 | Joshua Mckinney           |           60120097521 |          Proton |      ERF 273 |     9 |       126.83 |                Tyler Choi |          60114924624 | 2024-07-04 | 2024-07-11 | 2024-07-10 |          5 |      Valid |          634.15
ID013 | Eric Richardson DVM       |           60116441993 |         Perodua |      VID 686 |     7 |       161.80 |              Kathy Rogers |          60186875308 | 2024-07-06 | 2024-07-12 | 2024-07-10 |          1 |      Valid |          161.80
ID014 | Edgar Morrison            |           60197921838 |   Mercedes-Benz |      ILK 273 |     5 |        71.55 |          Jennifer Robbins |          60194801472 | 2024-07-07 | 2024-07-12 | 2024-07-10 |          5 |      Valid |          357.75
ID015 | Shannon Hartman           |           60177133526 |           Honda |      ZRK 789 |     4 |       151.96 |                Susan Love |          60149162137 | 2024-07-05 | 2024-07-11 | 2024-07-10 |          1 |      Valid |          151.96
ID016 | John Calderon             |           60183762908 |            Ford |      SPK 980 |     9 |        91.48 |            Jonathan Davis |          60114425807 | 2024-07-07 | 2024-07-14 | 2024-07-10 |          2 |      Valid |          182.96
ID017 | Angela Taylor             |           60160530314 |         Perodua |      OCC 672 |     9 |       171.44 |               Jared Watts |          60119868531 | 2024-07-04 | 2024-07-14 | 2024-07-10 |          3 |      Valid |          514.32
ID018 | Jillian Day               |           60153725416 |         Perodua |      DYN 441 |     7 |        74.49 |              Tammy Valdez |          60134266006 | 2024-07-04 | 2024-07-05 | 2024-07-10 |          1 |    Expired |           74.49
ID019 | Caitlin Crane             |           60162468919 |           Honda |      HSF 137 |     9 |       154.04 |               Casey Jones |          60180842752 | 2024-07-07 | 2024-07-20 | 2024-07-10 |          1 |      Valid |          154.04
ID020 | Andrew Jackson            |           60143254698 |          Nissan |      KEJ 677 |     9 |        76.69 |              Justin Brown |          60179746201 | 2024-07-06 | 2024-07-17 | 2024-07-10 |          1 |      Valid |           76.69
ID021 | Frank Joseph              |           60189918828 |           Honda |      OTI 929 |     4 |       146.70 |         Dr. Paula Bennett |          60169377278 | 2024-07-09 | 2024-07-11 | 2024-07-10 |          3 |      Valid |          440.10
ID022 | John Curtis               |           60187995750 |            Ford |      AMD 285 |     9 |        63.89 |               Sarah Perry |          60105626374 | 2024-07-08 | 2024-07-18 | 2024-07-10 |          2 |      Valid |          127.78
ID023 | Dylan Torres              |           60159674073 |          Toyota |      TWG 760 |     5 |       123.49 |            Karen Thompson |          60135819332 | 2024-07-08 | 2024-07-21 | 2024-07-10 |          5 |      Valid |          617.45
ID024 | Dawn Ellis                |           60137057485 |         Perodua |      ANP 168 |     7 |       135.59 |               Robert Mann |          60145798287 | 2024-07-06 | 2024-07-13 | 2024-07-10 |          3 |      Valid |          406.77
ID025 | Rebecca Bates             |           60131473807 |      Volkswagen |      CTT 117 |     7 |        65.65 |              Katie Romero |          60120247724 | 2024-07-07 | 2024-07-15 | 2024-07-10 |          3 |      Valid |          196.95
ID026 | Linda Long                |           60192104539 |             BMW |      TQL 331 |     4 |        67.82 |             Glenn Schmidt |          60129958986 | 2024-07-10 | 2024-07-19 | 2024-07-10 |          4 |      Valid |          271.28
ID027 | Richard Smith DDS         |           60117748310 |         Perodua |      EYE 273 |     4 |       157.06 |             Michelle Cook |          60139911898 | 2024-07-08 | 2024-07-10 | 2024-07-10 |          4 |    Expired |          628.24
ID028 | Micheal Lee               |           60116080214 |          Nissan |      WZD 399 |     4 |        50.17 |             Roberto Smith |          60192724696 | 2024-07-08 | 2024-07-11 | 2024-07-10 |          5 |      Valid |          250.85
ID029 | Kelsey Perez              |           60170310382 |          Proton |      VJX 382 |     9 |        72.79 |               Terry Ramos |          60190311090 | 2024-07-08 | 2024-07-15 | 2024-07-10 |          2 |      Valid |          145.58
ID030 | James Cunningham          |           60114865197 |          Proton |      JRN 872 |     7 |       185.59 |               Taylor Hood |          60142406441 | 2024-07-10 | 2024-07-20 | 2024-07-10 |          3 |      Valid |          556.77
ID031 | Elizabeth Wright          |           60181920397 |   Mercedes-Benz |      NJU 878 |     4 |       159.41 |               Robert Koch |          60119557567 | 2024-07-09 | 2024-07-15 | 2024-07-10 |          2 |      Valid |          318.82
ID032 | Mario Craig               |           60154899647 |         Perodua |      WBF 535 |     9 |        76.83 |                James Wise |          60142342896 | 2024-07-09 | 2024-07-18 | 2024-07-10 |          2 |      Valid |          153.66
ID033 | Christine Bryan           |           60163237673 |      Volkswagen |      CQX 066 |     4 |       162.49 |             Jessica Smith |          60197362272 | 2024-07-06 | 2024-07-10 | 2024-07-10 |          1 |    Expired |          162.49
ID034 | Anthony Jennings          |           60183978768 |             BMW |      MWR 708 |     9 |        77.83 |              Abigail Wang |          60191926375 | 2024-07-09 | 2024-07-21 | 2024-07-10 |          1 |      Valid |           77.83
ID035 | Patricia Stephenson       |           60115733981 |          Nissan |      RWM 563 |     7 |       157.62 |            Shannon Mooney |          60102928845 | 2024-07-08 | 2024-07-17 | 2024-07-10 |          3 |      Valid |          472.86
ID036 | Angela Green              |           60171177330 |          Toyota |      LGR 257 |     7 |        76.51 |              Alexis Scott |          60173641371 | 2024-07-06 | 2024-07-20 | 2024-07-10 |          3 |      Valid |          229.53
ID037 | Suzanne Patterson         |           60175917619 |   Mercedes-Benz |      EAK 723 |     4 |       167.21 |            Teresa Ramirez |          60126184744 | 2024-07-05 | 2024-07-13 | 2024-07-10 |          2 |      Valid |          334.42
ID038 | Raymond Riley             |           60112768290 |            Ford |      BDH 088 |     9 |       150.10 |            Thomas Aguilar |          60137677546 | 2024-07-08 | 2024-07-15 | 2024-07-10 |          5 |      Valid |          750.50
ID039 | Mark Serrano              |           60112734196 |            Ford |      UII 479 |     7 |       182.86 |        Casey Robinson PhD |          60168377178 | 2024-07-04 | 2024-07-10 | 2024-07-10 |          4 |    Expired |          731.44
ID040 | Terry Hatfield            |           60137796496 |             BMW |      QGF 235 |     7 |       193.89 |                  Anna Cox |          60152324718 | 2024-07-09 | 2024-07-19 | 2024-07-10 |          5 |      Valid |          969.45
ID041 | Lisa Burke                |           60111455898 |           Mazda |      ENN 341 |     4 |       129.70 |              Rebecca Wood |          60159161771 | 2024-07-06 | 2024-07-20 | 2024-07-10 |          3 |      Valid |          389.10
ID042 | Mark Watson               |           60183403685 |          Proton |      ZTV 504 |     4 |       168.59 |              Larry Cortez |          60104525079 | 2024-07-06 | 2024-07-10 | 2024-07-10 |          5 |    Expired |          842.95
ID043 | Stephen Pacheco           |           60113276645 |          Toyota |      HPL 853 |     4 |       185.21 |           Robert Sheppard |          60165465913 | 2024-07-06 | 2024-07-16 | 2024-07-10 |          1 |      Valid |          185.21
ID044 | Michael Lewis             |           60161410034 |      Volkswagen |      BUZ 968 |     4 |       164.12 |          Andrew Hernandez |          60193344894 | 2024-07-07 | 2024-07-11 | 2024-07-10 |          3 |      Valid |          492.36
ID045 | Lucas Green               |           60102925564 |             BMW |      SGT 673 |     9 |        80.22 |            Lori Dougherty |          60179048784 | 2024-07-08 | 2024-07-14 | 2024-07-10 |          2 |      Valid |          160.44
ID046 | Kristina Avery            |           60196075088 |         Perodua |      GQL 026 |     5 |       101.10 |             Daniel Castro |          60129029945 | 2024-07-09 | 2024-07-21 | 2024-07-10 |          2 |      Valid |          202.20
ID047 | Chad Fletcher             |           60137309446 |   Mercedes-Benz |      VTJ 566 |     5 |       192.09 |            Jessica Harper |          60196651652 | 2024-07-05 | 2024-07-09 | 2024-07-10 |          3 |    Expired |          576.27
ID048 | Mrs. Christine Villegas   |           60159359564 |          Nissan |      CQJ 694 |     4 |       110.06 |           Anthony Sweeney |          60197859810 | 2024-07-05 | 2024-07-10 | 2024-07-10 |          1 |    Expired |          110.06
ID049 | Kristen Goodwin           |           60182902204 |         Perodua |      FEA 747 |     5 |        77.53 |               Megan Burns |          60143632972 | 2024-07-05 | 2024-07-15 | 2024-07-10 |          5 |      Valid |          387.65
ID050 | Nicole Ford               |           60106918627 |   Mercedes-Benz |      UTV 059 |     9 |       141.32 |               Shaun Scott |          60102635088 | 2024-07-09 | 2024-07-14 | 2024-07-10 |          4 |      Valid |          565.28
ID051 | Laurie Larson             |           60161602584 |   Mercedes-Benz |      DMU 037 |     4 |       151.84 |              Troy Daniels |          60139795863 | 2024-07-04 | 2024-07-16 | 2024-07-10 |          5 |      Valid |          759.20
ID052 | Cory Mcintosh             |           60108537410 |   Mercedes-Benz |      YYV 940 |     4 |       175.96 |             Darlene Brown |          60156731420 | 2024-07-10 | 2024-07-18 | 2024-07-10 |          2 |      Valid |          351.92
ID053 | Raymond Lara              |           60149742635 |             BMW |      ZLF 955 |     4 |        82.75 |              Marcus Ramos |          60175159747 | 2024-07-09 | 2024-07-20 | 2024-07-10 |          3 |      Valid |          248.25
ID054 | Kelly Moses               |           60170205824 |   Mercedes-Benz |      GFW 924 |     9 |        83.63 |            Kristy Coleman |          60169119066 | 2024-07-06 | 2024-07-08 | 2024-07-10 |          5 |    Expired |          418.15
ID055 | Gregory Lara              |           60115773786 |      Volkswagen |      WWP 340 |     7 |        50.05 |          Reginald Roberts |          60107524370 | 2024-07-05 | 2024-07-08 | 2024-07-10 |          1 |    Expired |           50.05
ID056 | Raymond Harris            |           60194237588 |           Mazda |      BDO 778 |     4 |       173.76 |         Shannon Fernandez |          60107723185 | 2024-07-04 | 2024-07-16 | 2024-07-10 |          1 |      Valid |          173.76
ID057 | Alejandro Glenn           |           60157545245 |          Nissan |      UDI 617 |     4 |       124.32 |               Lauren Wood |          60146284781 | 2024-07-04 | 2024-07-06 | 2024-07-10 |          5 |    Expired |          621.60
ID058 | Robert Fry                |           60124863215 |           Honda |      NNV 987 |     4 |       176.62 |              Tracy Jarvis |          60143778830 | 2024-07-09 | 2024-07-15 | 2024-07-10 |          1 |      Valid |          176.62
ID059 | Jessica Montgomery        |           60122321505 |          Proton |      BNX 904 |     9 |       197.64 |               Jill Murray |          60161295440 | 2024-07-05 | 2024-07-11 | 2024-07-10 |          1 |      Valid |          197.64
ID060 | Brandy Brewer             |           60137932926 |           Mazda |      XCX 088 |     9 |       107.03 |            Jennifer Smith |          60183732427 | 2024-07-04 | 2024-07-10 | 2024-07-10 |          3 |    Expired |          321.09
ID061 | Stephen Knox              |           60175097115 |           Mazda |      VNH 042 |     7 |       141.55 |           Timothy Aguirre |          60144474737 | 2024-07-08 | 2024-07-19 | 2024-07-10 |          2 |      Valid |          283.10
ID062 | James Matthews            |           60158436955 |   Mercedes-Benz |      AWE 640 |     4 |        87.24 |              Ronald Riggs |          60198030359 | 2024-07-05 | 2024-07-17 | 2024-07-10 |          4 |      Valid |          348.96
ID063 | Patrick Johnson           |           60186233407 |           Honda |      QUL 163 |     4 |       128.20 |                Anna Smith |          60154653885 | 2024-07-10 | 2024-07-11 | 2024-07-10 |          3 |      Valid |          384.60
ID064 | Kathy Wise                |           60114592906 |          Toyota |      GQY 478 |     7 |        50.71 |           David Rodriguez |          60124344370 | 2024-07-06 | 2024-07-18 | 2024-07-10 |          5 |      Valid |          253.55
ID065 | Lisa Ramsey               |           60133540774 |           Mazda |      UEO 002 |     5 |       100.07 |              Penny Curtis |          60169310473 | 2024-07-08 | 2024-07-13 | 2024-07-10 |          1 |      Valid |          100.07
ID066 | David Blair               |           60120804381 |            Ford |      YLX 129 |     5 |       182.88 |             Peter Jenkins |          60161166678 | 2024-07-06 | 2024-07-12 | 2024-07-10 |          1 |      Valid |          182.88
ID067 | Valerie Taylor            |           60144437916 |           Mazda |      FNF 729 |     5 |       133.96 |               Kayla Smith |          60185471173 | 2024-07-10 | 2024-07-18 | 2024-07-10 |          3 |      Valid |          401.88
ID068 | Teresa Parker             |           60198436525 |         Perodua |      LMJ 304 |     9 |       157.18 |          Michael Crawford |          60188706792 | 2024-07-05 | 2024-07-14 | 2024-07-10 |          4 |      Valid |          628.72
ID069 | Kirk Johnson              |           60182265228 |      Volkswagen |      GAT 239 |     5 |        94.23 |               Pamela Snow |          60185773887 | 2024-07-10 | 2024-07-14 | 2024-07-10 |          1 |      Valid |           94.23
ID070 | Kimberly Collins          |           60143578471 |          Toyota |      JXT 516 |     4 |       129.38 |               Shane Cohen |          60107634015 | 2024-07-07 | 2024-07-13 | 2024-07-10 |          2 |      Valid |          258.76
ID071 | Anne Huffman              |           60146596813 |           Honda |      LCZ 219 |     7 |        80.07 |              Megan Harris |          60165631067 | 2024-07-09 | 2024-07-20 | 2024-07-10 |          1 |      Valid |           80.07
ID072 | Jeffrey Crosby            |           60179732250 |   Mercedes-Benz |      VLV 213 |     9 |        99.93 |        Elizabeth Garrison |          60197216139 | 2024-07-09 | 2024-07-19 | 2024-07-10 |          1 |      Valid |           99.93
ID073 | James Weber               |           60199975971 |          Toyota |      FSK 565 |     5 |       178.20 |            Kevin Espinoza |          60156813875 | 2024-07-04 | 2024-07-16 | 2024-07-10 |          2 |      Valid |          356.40
ID074 | Thomas Buckley            |           60104692957 |   Mercedes-Benz |      VRX 799 |     5 |        98.80 |           Anthony Morales |          60101245969 | 2024-07-06 | 2024-07-13 | 2024-07-10 |          5 |      Valid |          494.00
ID075 | Thomas Kim                |           60199570989 |          Proton |      GOU 313 |     9 |       188.33 |               Terry David |          60103640926 | 2024-07-08 | 2024-07-11 | 2024-07-10 |          5 |      Valid |          941.65
ID076 | Carrie Green              |           60192057020 |          Nissan |      OZH 897 |     7 |       165.74 |              Lisa Walters |          60120368422 | 2024-07-09 | 2024-07-12 | 2024-07-10 |          4 |      Valid |          662.96
ID077 | Michael Thomas            |           60141690036 |          Toyota |      IDY 272 |     4 |       118.21 |             Kelly Hoffman |          60191054862 | 2024-07-08 | 2024-07-12 | 2024-07-10 |          2 |      Valid |          236.42
ID078 | Lisa Burke                |           60169731281 |   Mercedes-Benz |      BMO 566 |     5 |       148.52 |             Brian Johnson |          60143589612 | 2024-07-07 | 2024-07-09 | 2024-07-10 |          1 |    Expired |          148.52
ID079 | Olivia Decker             |           60162948518 |         Perodua |      GJA 699 |     7 |       129.24 |               Jeff Miller |          60154074900 | 2024-07-05 | 2024-07-18 | 2024-07-10 |          3 |      Valid |          387.72
ID080 | Susan Roberts             |           60186568102 |           Honda |      OAW 802 |     7 |       147.77 |            Vincent Barnes |          60155789925 | 2024-07-08 | 2024-07-12 | 2024-07-10 |          3 |      Valid |          443.31
ID081 | Paula Carter              |           60167389714 |           Mazda |      WSS 161 |     9 |       159.02 |            Bryan Williams |          60117868986 | 2024-07-10 | 2024-07-22 | 2024-07-10 |          1 |      Valid |          159.02
ID082 | Ricky Matthews            |           60180091098 |          Proton |      BWI 254 |     9 |       142.42 |           Stephanie Clark |          60146737701 | 2024-07-08 | 2024-07-17 | 2024-07-10 |          2 |      Valid |          284.84
ID083 | Kayla Cross               |           60138991623 |         Perodua |      MWI 160 |     5 |        78.08 |             Renee Cochran |          60160947162 | 2024-07-10 | 2024-07-15 | 2024-07-10 |          3 |      Valid |          234.24
ID084 | Sandra Lawrence           |           60165923487 |           Mazda |      BIX 566 |     5 |       127.77 |         Andrea Harrington |          60108206361 | 2024-07-07 | 2024-07-21 | 2024-07-10 |          1 |      Valid |          127.77
ID085 | Melissa Henderson         |           60134799374 |   Mercedes-Benz |      KMK 588 |     4 |       178.93 |            Kimberly Davis |          60168583226 | 2024-07-07 | 2024-07-13 | 2024-07-10 |          1 |      Valid |          178.93
ID086 | Angela Parker             |           60142495513 |         Perodua |      GQW 811 |     4 |       130.59 |           Aaron Rodriguez |          60155024582 | 2024-07-10 | 2024-07-23 | 2024-07-10 |          5 |      Valid |          652.95
ID087 | Jennifer Nolan            |           60148191347 |   Mercedes-Benz |      UAI 268 |     4 |       165.81 |                 Megan Lee |          60178536045 | 2024-07-08 | 2024-07-13 | 2024-07-10 |          4 |      Valid |          663.24
ID088 | Lisa Thomas               |           60110195962 |          Nissan |      ZUA 625 |     7 |       117.12 |             Heather Davis |          60176296268 | 2024-07-09 | 2024-07-22 | 2024-07-10 |          2 |      Valid |          234.24
ID089 | Michele Rose              |           60172624198 |         Perodua |      MEB 534 |     5 |        64.16 |         Mitchell Robinson |          60157880476 | 2024-07-09 | 2024-07-11 | 2024-07-10 |          4 |      Valid |          256.64
ID090 | Ronald Russell            |           60124256295 |   Mercedes-Benz |      VMC 804 |     4 |        91.40 |          Lawrence Johnson |          60112233157 | 2024-07-06 | 2024-07-10 | 2024-07-10 |          1 |    Expired |           91.40
ID091 | Lisa Gallegos             |           60115880880 |            Ford |      XNE 945 |     7 |       112.77 |             Joseph Tucker |          60163633348 | 2024-07-04 | 2024-07-13 | 2024-07-10 |          5 |      Valid |          563.85
ID092 | Katherine Hays            |           60190708812 |           Honda |      SDQ 670 |     9 |       199.41 |                  Donna Ho |          60117846721 | 2024-07-07 | 2024-07-11 | 2024-07-10 |          1 |      Valid |          199.41
ID093 | Brian Waters              |           60153677630 |           Mazda |      TCF 035 |     4 |       181.45 |                   Kim Lee |          60187992596 | 2024-07-07 | 2024-07-10 | 2024-07-10 |          5 |    Expired |          907.25
ID094 | Mr. Benjamin Williams DDS |           60109081700 |   Mercedes-Benz |      MRY 758 |     4 |       144.80 |             Jackie Parker |          60132185861 | 2024-07-08 | 2024-07-09 | 2024-07-10 |          5 |    Expired |          724.00
ID095 | Karen Mann                |           60181005584 |           Honda |      FMO 498 |     7 |        94.02 |            Jonathan Adams |          60135141457 | 2024-07-08 | 2024-07-20 | 2024-07-10 |          2 |      Valid |          188.04
ID096 | Mark Castillo             |           60162954455 |          Toyota |      PMJ 406 |     5 |       131.92 |          Jessica Campbell |          60148952475 | 2024-07-06 | 2024-07-14 | 2024-07-10 |          2 |      Valid |          263.84
ID097 | Beth Robinson             |           60125938507 |             BMW |      EVX 510 |     7 |        78.72 |               Joshua Cook |          60115537310 | 2024-07-10 | 2024-07-15 | 2024-07-10 |          5 |      Valid |          393.60
ID098 | Carlos Gross              |           60151145553 |           Honda |      YAV 780 |     4 |       109.66 |              Amanda Jones |          60101697344 | 2024-07-06 | 2024-07-11 | 2024-07-10 |          4 |      Valid |          438.64
ID099 | Scott West                |           60145689132 |          Toyota |      CLH 447 |     9 |        74.46 |            Maria Williams |          60183890208 | 2024-07-07 | 2024-07-13 | 2024-07-10 |          4 |      Valid |          297.84
ID100 | Marc Flores               |           60164646114 |   Mercedes-Benz |      XFP 794 |     5 |        91.16 |            Jason Fletcher |          60147580153 | 2024-07-08 | 2024-07-10 | 2024-07-10 |          4 |    Expired |          364.64
ID101 | Sara Price                |           60157385209 |          Nissan |      ZQI 125 |     5 |       100.60 |           Justin Davidson |          60106339313 | 2024-07-10 | 2024-07-15 | 2024-07-10 |          4 |      Valid |          402.40
ID102 | Stephanie Miles           |           60152710539 |           Mazda |      EEP 549 |     4 |        80.95 |            Vanessa Porter |          60167660113 | 2024-07-09 | 2024-07-13 | 2024-07-10 |          5 |      Valid |          404.75
ID103 | Candice Roman             |           60155501611 |          Toyota |      RBJ 740 |     4 |       183.52 |           Sharon Williams |          60114549414 | 2024-07-10 | 2024-07-20 | 2024-07-10 |          5 |      Valid |          917.60
ID104 | Carrie Ward               |           60178433427 |      Volkswagen |      UPS 060 |     5 |       185.64 |          Kirsten Moss DVM |          60153660735 | 2024-07-09 | 2024-07-16 | 2024-07-10 |          5 |      Valid |          928.20
ID105 | Paula Ford                |           60156316766 |           Honda |      DPE 561 |     9 |       130.68 |                Paul Burns |          60135205587 | 2024-07-04 | 2024-07-17 | 2024-07-10 |          5 |      Valid |          653.40
ID106 | Jonathan Thornton         |           60156679662 |      Volkswagen |      LBT 145 |     7 |        72.92 |             Julie Kennedy |          60157409722 | 2024-07-08 | 2024-07-15 | 2024-07-10 |          5 |      Valid |          364.60
ID107 | David Perez               |           60195044405 |      Volkswagen |      UFL 955 |     4 |       130.94 |             Madison Lucas |          60157471221 | 2024-07-07 | 2024-07-15 | 2024-07-10 |          1 |      Valid |          130.94
ID108 | Matthew White             |           60136407704 |      Volkswagen |      IRI 726 |     4 |       115.18 |              Carla Barber |          60143186668 | 2024-07-05 | 2024-07-09 | 2024-07-10 |          5 |    Expired |          575.90
ID109 | Erin Zamora               |           60162122171 |             BMW |      TMK 175 |     4 |       127.50 |            Cory Fernandez |          60119648858 | 2024-07-06 | 2024-07-20 | 2024-07-10 |          2 |      Valid |          255.00
ID110 | Theresa Gonzalez          |           60194238099 |          Nissan |      YRW 919 |     4 |       167.21 |          Alexandria Rojas |          60154749710 | 2024-07-10 | 2024-07-18 | 2024-07-10 |          1 |      Valid |          167.21
ID111 | Emily Owen                |           60153405281 |   Mercedes-Benz |      BOX 801 |     9 |       165.90 |         Elizabeth Johnson |          60100687933 | 2024-07-08 | 2024-07-22 | 2024-07-10 |          4 |      Valid |          663.60
ID112 | Cheryl Little             |           60167374615 |   Mercedes-Benz |      WBR 833 |     4 |       116.40 |       Christopher Edwards |          60179534787 | 2024-07-08 | 2024-07-22 | 2024-07-10 |          1 |      Valid |          116.40
ID113 | Alexander Lee             |           60187541301 |          Proton |      KRE 107 |     9 |        83.52 |          Jasmine Reynolds |          60139849417 | 2024-07-07 | 2024-07-20 | 2024-07-10 |          1 |      Valid |           83.52
ID114 | Tristan Crawford          |           60188241139 |          Toyota |      MKA 833 |     9 |        83.41 |        Catherine Schaefer |          60136570019 | 2024-07-04 | 2024-07-17 | 2024-07-10 |          5 |      Valid |          417.05
ID115 | Cole Johnson              |           60143868173 |             BMW |      TNA 533 |     4 |        83.77 |          Barbara Robinson |          60182125145 | 2024-07-06 | 2024-07-10 | 2024-07-10 |          5 |    Expired |          418.85
ID116 | David Martinez            |           60196386484 |             BMW |      WLM 870 |     9 |       127.76 |                 John Lynn |          60132466678 | 2024-07-08 | 2024-07-09 | 2024-07-10 |          1 |    Expired |          127.76
ID117 | Kristy Alvarez            |           60136674837 |   Mercedes-Benz |      TDJ 776 |     5 |       188.14 |             Bethany Moore |          60122808365 | 2024-07-07 | 2024-07-12 | 2024-07-10 |          3 |      Valid |          564.42
ID118 | Charles Ramos             |           60101233580 |            Ford |      BFY 881 |     5 |       124.30 |            Jessica Taylor |          60120170792 | 2024-07-04 | 2024-07-07 | 2024-07-10 |          4 |    Expired |          497.20
ID119 | Dr. Jessica Green DVM     |           60136410992 |            Ford |      NTE 999 |     7 |        75.49 |             Carlos Turner |          60160279797 | 2024-07-04 | 2024-07-12 | 2024-07-10 |          5 |      Valid |          377.45
ID120 | Laura Gutierrez           |           60129547046 |           Mazda |      UDA 319 |     7 |        76.03 |            Laura Robinson |          60167417073 | 2024-07-07 | 2024-07-09 | 2024-07-10 |          3 |    Expired |          228.09
ID121 | Brent Lawrence            |           60159970849 |   Mercedes-Benz |      ZYJ 100 |     5 |       105.57 |            Danielle Grant |          60102841215 | 2024-07-05 | 2024-07-10 | 2024-07-10 |          2 |    Expired |          211.14
ID122 | Stephen Bates             |           60122025707 |          Nissan |      YSP 199 |     5 |       105.18 |               Tammy Moore |          60169702016 | 2024-07-07 | 2024-07-17 | 2024-07-10 |          1 |      Valid |          105.18
ID123 | Donald Manning            |           60106047811 |      Volkswagen |      TRW 407 |     5 |       196.36 |            Melissa Joseph |          60179264460 | 2024-07-05 | 2024-07-13 | 2024-07-10 |          5 |      Valid |          981.80
ID124 | Joseph Wilson             |           60170062150 |         Perodua |      EZC 010 |     9 |        82.84 |            Angela Johnson |          60185339075 | 2024-07-06 | 2024-07-14 | 2024-07-10 |          4 |      Valid |          331.36
ID125 | Joyce Andersen            |           60191528180 |            Ford |      CDH 768 |     7 |       119.42 |          Michael Shepherd |          60129122793 | 2024-07-04 | 2024-07-05 | 2024-07-10 |          4 |    Expired |          477.68
ID126 | Tara Clark                |           60139457925 |           Mazda |      NOJ 355 |     5 |       118.29 |          Sarah Fitzgerald |          60167430968 | 2024-07-06 | 2024-07-16 | 2024-07-10 |          2 |      Valid |          236.58
ID127 | Wendy Gonzales            |           60101763994 |             BMW |      JZO 346 |     4 |        81.87 |              Linda Fisher |          60137432534 | 2024-07-06 | 2024-07-17 | 2024-07-10 |          4 |      Valid |          327.48
ID128 | Jennifer Holt             |           60198186722 |   Mercedes-Benz |      FZJ 986 |     9 |       100.92 |               Amy Jenkins |          60119601049 | 2024-07-08 | 2024-07-14 | 2024-07-10 |          3 |      Valid |          302.76
ID129 | Regina Camacho            |           60157444877 |      Volkswagen |      ACD 261 |     5 |        94.91 |           Kristin Johnson |          60195394613 | 2024-07-06 | 2024-07-15 | 2024-07-10 |          1 |      Valid |           94.91
ID130 | Christopher Boyer         |           60100652701 |         Perodua |      IDN 327 |     9 |       168.97 |             Angela Rangel |          60169427879 | 2024-07-04 | 2024-07-09 | 2024-07-10 |          3 |    Expired |          506.91
ID131 | Peter Livingston          |           60135832919 |      Volkswagen |      DAN 455 |     5 |       165.22 |            Travis Winters |          60191063742 | 2024-07-10 | 2024-07-18 | 2024-07-10 |          4 |      Valid |          660.88
