
ID    |                  Customer |          Phone Number |           Brand | Plate Number | Seats |  Rental Rate |                    Driver |  Driver Phone Number | Start Date | End Date | Rental Fee (RM)
ID048 | Michael Turner            |           60173793033 |          Toyota |      TLI 859 |     4 |        96.31 |                Judy Silva |          60106670401 | 2024-07-05 | 2024-07-15 |          963.10
ID049 | Adam Williamson           |           60198957715 |          Toyota |      WAR 547 |     5 |       143.62 |             Gloria Larson |          60142186819 | 2024-07-08 | 2024-07-18 |         1436.20
ID050 | Laura Woodard             |           60151662789 |         Perodua |      GGL 344 |     4 |        86.00 |           Sherry Carrillo |          60184023925 | 2024-07-09 | 2024-07-11 |          172.00
ID051 | Randall Ray               |           60191717995 |         Perodua |      RKX 142 |     4 |       177.50 |            Katrina Torres |          60195517086 | 2024-06-18 | 2024-06-21 |          532.50
ID052 | Michael Gonzalez          |           60152247537 |            Ford |      XVP 219 |     7 |        58.31 |             Sophia Newton |          60112232132 | 2024-07-01 | 2024-07-09 |          466.48
ID053 | Rhonda Elliott            |           60151776683 |          Toyota |      PET 406 |     4 |        89.83 |             Jonathan Wolf |          60144493115 | 2024-06-17 | 2024-06-26 |          808.47
ID054 | Anthony Scott             |           60172557119 |   Mercedes-Benz |      XSQ 109 |     4 |       132.28 |            David Martinez |          60134838849 | 2024-07-06 | 2024-07-08 |          264.56
ID055 | Mr. Andrew Christensen II |           60104620684 |          Proton |      ECG 077 |     5 |        97.36 |         Jessica Hernandez |          60109115428 | 2024-07-02 | 2024-07-13 |         1070.96
ID056 | Amanda Evans              |           60186012052 |      Volkswagen |      ROQ 352 |     4 |        94.83 |               Alex Jordan |          60190055511 | 2024-06-11 | 2024-06-17 |          568.98
ID057 | Joshua Hardy              |           60128729944 |      Volkswagen |      WJJ 079 |     7 |        90.16 |              Connie Lynch |          60162359482 | 2024-06-21 | 2024-06-29 |          721.28
ID058 | Teresa Johnson            |           60142220042 |           Honda |      IOW 798 |     9 |       171.47 |          Stephanie Bishop |          60186186098 | 2024-06-14 | 2024-06-24 |         1714.70
ID059 | Vincent Case              |           60104453454 |          Nissan |      VMB 578 |     9 |       188.37 |             David Everett |          60172440653 | 2024-06-12 | 2024-06-19 |         1318.59
ID060 | Amanda James              |           60129644558 |          Nissan |      BFD 947 |     9 |       105.73 |              Kylie Carter |          60123704817 | 2024-06-21 | 2024-07-02 |         1163.03
ID061 | Peter Rhodes              |           60125465175 |          Toyota |      CSF 139 |     5 |       146.54 |              Sheryl Hodge |          60160510508 | 2024-06-10 | 2024-06-22 |         1758.48
ID062 | Donald King               |           60136498001 |         Perodua |      ZDN 227 |     7 |       175.49 |            Danny Copeland |          60115302754 | 2024-06-16 | 2024-06-25 |         1579.41
ID063 | Nicholas Thomas           |           60159829108 |          Nissan |      QYQ 556 |     7 |        98.94 |        Christopher Garcia |          60100932683 | 2024-06-24 | 2024-07-03 |          890.46
ID064 | Rhonda Turner             |           60113913509 |      Volkswagen |      RWX 132 |     5 |       166.00 |             Cristian Pope |          60183393404 | 2024-07-09 | 2024-07-16 |         1162.00
ID065 | Elizabeth Mcclain         |           60147637100 |          Toyota |      UFE 280 |     4 |       104.44 |             Angel Aguilar |          60181572742 | 2024-06-23 | 2024-06-28 |          522.20
ID066 | Todd Roberson             |           60184422091 |          Toyota |      HMA 416 |     7 |       129.44 |            Bonnie Padilla |          60199397393 | 2024-06-27 | 2024-07-07 |         1294.40
ID067 | Carla Cruz                |           60184368439 |      Volkswagen |      XYE 394 |     7 |       121.74 |             Nicole Adkins |          60108350060 | 2024-06-21 | 2024-06-28 |          852.18
ID068 | Joseph Rodriguez          |           60172796585 |            Ford |      LZR 882 |     7 |        78.78 |            Jennifer Wiley |          60162917124 | 2024-06-12 | 2024-06-17 |          393.90
ID069 | Nichole Heath             |           60124557731 |          Nissan |      KZN 295 |     7 |       100.72 |               Daniel Wood |          60107947651 | 2024-07-09 | 2024-07-23 |         1410.08
ID070 | Lisa Perez                |           60106075192 |          Nissan |      YWO 215 |     5 |        83.30 |            Tyler Gonzales |          60110754092 | 2024-06-17 | 2024-06-25 |          666.40
ID071 | Joseph Edwards            |           60163583139 |          Proton |      KNH 121 |     4 |       143.59 |            Jacqueline Fox |          60169208125 | 2024-07-01 | 2024-07-12 |         1579.49
ID072 | Rhonda Peters             |           60120299385 |      Volkswagen |      BEU 493 |     5 |        97.99 |             Tracy Fleming |          60117772280 | 2024-07-07 | 2024-07-11 |          391.96
ID073 | James Jimenez             |           60156578081 |          Nissan |      XMW 374 |     9 |        91.52 |              Jay Thompson |          60188638608 | 2024-07-09 | 2024-07-13 |          366.08
ID074 | Leslie Murphy             |           60151941553 |            Ford |      YFD 529 |     4 |       126.08 |            Karen Gonzalez |          60104576454 | 2024-06-26 | 2024-06-29 |          378.24
ID075 | Amanda Sanchez            |           60117065769 |   Mercedes-Benz |      VVJ 558 |     5 |        52.26 |             Brian Salazar |          60176485908 | 2024-06-11 | 2024-06-22 |          574.86
ID076 | Jason Walker              |           60142215906 |           Mazda |      QPX 911 |     9 |       128.16 |            Lori Rodriguez |          60191724064 | 2024-06-20 | 2024-06-21 |          128.16
ID077 | Jeffery Mcpherson         |           60185687514 |           Honda |      WUC 373 |     7 |       112.84 |           Kimberly Thomas |          60122186024 | 2024-07-06 | 2024-07-12 |          677.04
ID078 | Lori Gray                 |           60145778715 |      Volkswagen |      EFP 948 |     4 |        65.87 |           Johnathan Brown |          60157488785 | 2024-06-24 | 2024-06-28 |          263.48
ID079 | Robin Brown               |           60105604031 |          Nissan |      VZN 179 |     4 |       174.97 |          Michael Young II |          60108372161 | 2024-07-08 | 2024-07-12 |          699.88
ID080 | Amber Martinez            |           60184142464 |             BMW |      JES 334 |     9 |        93.94 |               Adam Norris |          60178295042 | 2024-06-26 | 2024-07-09 |         1221.22
ID081 | David Martinez            |           60194475472 |         Perodua |      WFZ 715 |     7 |        64.45 |             Kelsey Flores |          60169283210 | 2024-06-17 | 2024-06-28 |          708.95
ID082 | Renee Griffin             |           60146688492 |   Mercedes-Benz |      OSR 211 |     5 |        88.91 |            Richard Cooper |          60122412998 | 2024-06-25 | 2024-06-29 |          355.64
ID083 | Shelby Taylor             |           60142124156 |           Mazda |      MBT 747 |     9 |       108.91 |              Karen Jordan |          60159466102 | 2024-06-20 | 2024-06-25 |          544.55
ID084 | Sarah Carter              |           60139984144 |         Perodua |      DIK 467 |     5 |        60.67 |         Kathleen Thompson |          60143928876 | 2024-07-06 | 2024-07-18 |          728.04
ID085 | Walter Smith              |           60138403925 |             BMW |      TYV 421 |     7 |        55.47 |             Robert Jarvis |          60141511651 | 2024-06-11 | 2024-06-24 |          721.11
ID086 | Pamela Branch             |           60115474632 |          Nissan |      CMI 358 |     4 |       198.52 |               Tyler Brown |          60114861471 | 2024-07-08 | 2024-07-21 |         2580.76
ID087 | Lucas Garza               |           60169705766 |   Mercedes-Benz |      CUY 003 |     9 |       127.60 |          Stephanie Franco |          60195983628 | 2024-07-08 | 2024-07-16 |         1020.80
ID088 | Dawn Dyer                 |           60120514667 |          Toyota |      FFN 943 |     4 |       163.74 |               Kevin Kelly |          60186098716 | 2024-06-29 | 2024-07-02 |          491.22
ID089 | Jared Woods               |           60131265078 |             BMW |      CUE 394 |     9 |       131.36 |              Kelly Vaughn |          60177942887 | 2024-07-02 | 2024-07-09 |          919.52
ID090 | Julie Lutz                |           60112488559 |          Proton |      NOA 147 |     4 |       132.49 |            Philip Hensley |          60153771216 | 2024-06-24 | 2024-06-25 |          132.49
ID091 | Theresa Decker            |           60119236136 |      Volkswagen |      ZFE 035 |     5 |       172.56 |                 Gina Paul |          60136816434 | 2024-07-06 | 2024-07-10 |          690.24
ID092 | James Marshall            |           60102672361 |          Nissan |      MRF 397 |     4 |       108.52 |               David Black |          60134341137 | 2024-06-21 | 2024-06-27 |          651.12
ID093 | Ronnie Castro             |           60156846989 |      Volkswagen |      GMI 815 |     4 |       134.54 |                Tracy Bell |          60131041025 | 2024-07-07 | 2024-07-14 |          941.78
ID094 | Shannon Cruz              |           60171517031 |          Nissan |      TGW 904 |     4 |       156.56 |              Carla Jensen |          60156181564 | 2024-07-02 | 2024-07-05 |          469.68
ID095 | Amy Smith                 |           60129206206 |         Perodua |      NKV 825 |     4 |       131.85 |             Tracy Roberts |          60145615723 | 2024-06-23 | 2024-06-28 |          659.25
ID096 | Shawn Johnson             |           60108867058 |         Perodua |      NVD 648 |     9 |        86.30 |                Ann Cortez |          60198943077 | 2024-06-11 | 2024-06-19 |          690.40
ID097 | Jacqueline Pugh           |           60138667467 |          Proton |      KNE 924 |     9 |        74.01 |          Krista Underwood |          60112481139 | 2024-06-21 | 2024-07-02 |          814.11
ID098 | Lisa Robinson             |           60139119861 |           Honda |      VJR 146 |     5 |       180.69 |           Micheal Marquez |          60110448367 | 2024-06-23 | 2024-07-05 |         2168.28
ID099 | Patrick Bowman            |           60168580754 |             BMW |      ZPD 897 |     9 |       104.82 |        Timothy Richardson |          60191516170 | 2024-06-22 | 2024-06-23 |          104.82
ID100 | Alexander Ortiz           |           60171749572 |          Toyota |      ZFE 057 |     7 |       177.19 |              Yvette Klein |          60177453396 | 2024-07-08 | 2024-07-15 |         1240.33
ID101 | Sarah Valdez              |           60129284043 |          Nissan |      OKT 099 |     5 |       135.83 |             Lisa Campbell |          60119723529 | 2024-06-25 | 2024-07-09 |         1901.62
ID102 | Nathaniel Blevins         |           60164486856 |             BMW |      SXH 053 |     7 |       175.49 |             Lisa Reynolds |          60133010763 | 2024-06-24 | 2024-07-05 |         1930.39
ID103 | Diane Mitchell            |           60165991559 |          Proton |      CHJ 861 |     4 |       125.53 |              Carla Patton |          60135950925 | 2024-07-09 | 2024-07-12 |          376.59
ID104 | Kyle Bell                 |           60160267219 |   Mercedes-Benz |      WHW 691 |     7 |       161.73 |             Kevin Collier |          60159184452 | 2024-06-22 | 2024-07-06 |         2264.22
ID105 | Justin Lynch              |           60142132123 |             BMW |      BXV 604 |     7 |       105.73 |               Renee Baker |          60121198656 | 2024-07-06 | 2024-07-07 |          105.73
ID106 | William Woods             |           60183878713 |            Ford |      MRX 909 |     4 |       179.06 |             Nicole Mendez |          60172919419 | 2024-06-17 | 2024-06-24 |         1253.42
ID107 | Michael Payne             |           60136940762 |            Ford |      LTX 957 |     5 |        97.04 |              Alyssa Brown |          60186460039 | 2024-06-16 | 2024-06-21 |          485.20
ID108 | Sharon White              |           60191418486 |   Mercedes-Benz |      PYM 949 |     4 |        64.62 |           Jennifer Rogers |          60137598611 | 2024-07-09 | 2024-07-14 |          323.10
ID109 | Steven Frost              |           60151296805 |          Proton |      UJF 128 |     5 |        52.37 |        Elizabeth Gonzalez |          60166889975 | 2024-06-22 | 2024-07-01 |          471.33
ID110 | Travis Vang               |           60190063957 |          Proton |      TCJ 804 |     5 |        87.17 |              Kyle Aguilar |          60124286734 | 2024-06-26 | 2024-07-08 |         1046.04
ID111 | Andrea Wilson             |           60144022488 |            Ford |      CRP 206 |     5 |        86.58 |              Jesus Horton |          60144164185 | 2024-06-16 | 2024-06-23 |          606.06
ID112 | Christopher Schneider     |           60124090698 |          Toyota |      SWH 574 |     4 |       125.97 |            Travis Sanchez |          60157622561 | 2024-06-28 | 2024-07-11 |         1637.61
ID113 | Douglas Miller            |           60167284604 |          Proton |      TQY 974 |     5 |       139.43 |             Carrie Howell |          60115075064 | 2024-07-06 | 2024-07-17 |         1533.73
ID114 | Linda Hunter              |           60194376917 |             BMW |      RIT 151 |     9 |       134.51 |             Lydia Burgess |          60127357113 | 2024-06-20 | 2024-07-01 |         1479.61
ID115 | James Duncan              |           60180767012 |   Mercedes-Benz |      YYA 042 |     9 |        59.94 |            Katrina Dudley |          60107316991 | 2024-06-17 | 2024-06-29 |          719.28
ID116 | Joshua Lam                |           60192082042 |          Toyota |      JXJ 095 |     7 |       146.16 |             Russell Jones |          60109056063 | 2024-07-06 | 2024-07-15 |         1315.44
ID117 | Timothy Graham            |           60146415640 |          Nissan |      FOS 468 |     7 |       186.36 |            Jeffery Flores |          60105627428 | 2024-06-19 | 2024-06-26 |         1304.52
ID118 | Tiffany Gallegos          |           60116768043 |      Volkswagen |      RTZ 873 |     9 |       143.42 |               David Chang |          60136454703 | 2024-06-22 | 2024-07-03 |         1577.62
ID119 | Henry Rogers              |           60131765615 |          Nissan |      GHA 549 |     9 |       166.22 |               Susan Moore |          60194157310 | 2024-06-27 | 2024-07-05 |         1329.76
ID120 | Anna Garcia               |           60111165617 |            Ford |      DFI 508 |     4 |       144.96 |          Brian Fitzgerald |          60116836448 | 2024-06-20 | 2024-06-26 |          869.76
ID121 | Cory Reyes                |           60150594205 |            Ford |      FAY 035 |     5 |        52.51 |             Andrew Branch |          60148755990 | 2024-06-27 | 2024-06-30 |          157.53
ID122 | Chelsea Adkins            |           60192217778 |   Mercedes-Benz |      GJK 576 |     7 |       181.83 |            April Bautista |          60164059485 | 2024-06-20 | 2024-07-03 |         2363.79
ID123 | David Phelps              |           60130768088 |          Nissan |      LVS 442 |     7 |       161.95 |                Eric Brown |          60148291424 | 2024-06-23 | 2024-06-27 |          647.80
ID124 | Joshua Leach              |           60110715155 |          Toyota |      INN 694 |     4 |        66.58 |           Kathryn Jimenez |          60149559380 | 2024-07-08 | 2024-07-22 |          932.12
ID125 | Sara Reed                 |           60199479699 |            Ford |      ERK 334 |     4 |       101.04 |              Spencer Hall |          60136821356 | 2024-06-14 | 2024-06-16 |          202.08
ID126 | Michael Franklin          |           60101053163 |          Toyota |      MQU 825 |     5 |        72.07 |            Joseph Manning |          60177080955 | 2024-06-19 | 2024-06-29 |          720.70
ID127 | Amanda Johnson            |           60130540848 |          Toyota |      JDJ 590 |     7 |       100.07 |            Katrina Thomas |          60190896209 | 2024-06-20 | 2024-06-24 |          400.28
ID128 | Courtney Reynolds         |           60162637707 |          Toyota |      BYJ 026 |     5 |        63.91 |          Heather Thompson |          60150619977 | 2024-07-03 | 2024-07-04 |           63.91
ID129 | Lucas Harris              |           60194495899 |          Nissan |      WFI 443 |     9 |        88.37 |            Shelia Perkins |          60152266145 | 2024-06-10 | 2024-06-14 |          353.48
ID130 | David Kelley              |           60154239243 |      Volkswagen |      HAW 255 |     7 |       170.82 |            Anthony Miller |          60185053622 | 2024-06-15 | 2024-06-29 |         2391.48
ID131 | Randy Hale                |           60182661701 |          Toyota |      CVH 289 |     5 |        89.05 |      Dr. Kayla Navarro MD |          60168561672 | 2024-06-14 | 2024-06-23 |          801.45
ID132 | Diane Larsen              |           60170479090 |           Honda |      XOG 922 |     9 |        83.76 |         Christopher Carey |          60119553374 | 2024-06-11 | 2024-06-13 |          167.52
ID133 | Mark Thomas               |           60171053767 |            Ford |      QKZ 283 |     5 |        98.29 |         Cassidy Carpenter |          60140852738 | 2024-06-12 | 2024-06-22 |          982.90
ID134 | Earl White                |           60119042486 |         Perodua |      UOB 505 |     5 |        58.26 |            Linda Black MD |          60167843728 | 2024-06-23 | 2024-07-05 |          699.12
ID135 | Linda Clark               |           60139849671 |   Mercedes-Benz |      SXK 292 |     7 |       194.40 |            Andrew Simmons |          60189776652 | 2024-07-01 | 2024-07-04 |          583.20
ID136 | Tara Brooks               |           60151406347 |      Volkswagen |      MGO 374 |     7 |       194.91 |          Lindsey Campbell |          60160188375 | 2024-06-29 | 2024-07-05 |         1169.46
ID137 | Christina Thomas          |           60197131159 |            Ford |      UZQ 540 |     9 |       140.47 |                Jacob Mann |          60116949811 | 2024-06-11 | 2024-06-17 |          842.82
ID138 | Christian Park            |           60163975783 |           Honda |      CRL 794 |     7 |       192.88 |                  Amy Wong |          60103116574 | 2024-07-09 | 2024-07-17 |         1543.04
ID139 | Amy Smith                 |           60191763788 |            Ford |      LES 877 |     4 |        51.06 |                 Joe Riley |          60168932434 | 2024-07-02 | 2024-07-03 |           51.06
ID140 | Andrew Ruiz               |           60199702456 |          Proton |      VAX 378 |     5 |       125.57 |            Nicole Sanchez |          60107436295 | 2024-07-06 | 2024-07-16 |         1255.70
ID141 | Lori Fischer              |           60154397373 |         Perodua |      XSB 906 |     4 |       163.95 |          Jennifer Vazquez |          60161355455 | 2024-06-18 | 2024-07-01 |         2131.35
ID142 | Jeanne Roberts            |           60130342885 |          Proton |      GKQ 466 |     7 |        67.31 |                  Ian Lowe |          60119177623 | 2024-06-13 | 2024-06-18 |          336.55
ID143 | Eric Benton               |           60120919512 |           Honda |      IDF 838 |     7 |        99.53 |              Jason Holmes |          60190996089 | 2024-06-18 | 2024-06-20 |          199.06
ID144 | Jackie Bishop             |           60117164323 |           Mazda |      SUG 341 |     5 |        92.89 |      Jacqueline Armstrong |          60139800065 | 2024-06-18 | 2024-06-19 |           92.89
ID145 | Kendra Rogers             |           60176541754 |      Volkswagen |      XYB 371 |     4 |        57.49 |              Sarah Golden |          60104286314 | 2024-06-15 | 2024-06-19 |          229.96
ID146 | Kara Chapman              |           60184434393 |      Volkswagen |      FKO 920 |     5 |       111.34 |           Russell Sanders |          60173077460 | 2024-06-26 | 2024-07-07 |         1224.74
ID147 | Brenda Ramos              |           60140191000 |           Mazda |      PLT 115 |     5 |       173.07 |               Katie Burns |          60174685776 | 2024-06-24 | 2024-07-06 |         2076.84
ID148 | Caitlin Shaw              |           60149207589 |           Mazda |      NTI 239 |     4 |       193.84 |                Robin West |          60125787333 | 2024-07-01 | 2024-07-12 |         2132.24
ID149 | Linda Rios                |           60140831390 |   Mercedes-Benz |      YSF 456 |     7 |       170.96 |             Joseph Taylor |          60158164234 | 2024-06-14 | 2024-06-19 |          854.80
